abbreviation,full_name,english_name,category_type,group
AC,Ăn chính,Main meals,expense,Ăn uống
AV,Ăn vặt,Snacks,expense,Ăn uống
DC,Di chuyển,Transportation,expense,Sinh hoạt
RL,Quan hệ xã hội,Relationships/Social,expense,Xã hội
G,Gấu,Girlfriend/Partner,expense,Xã hội
NET,Internet/Game,Internet/Gaming,expense,Giải trí
Coffee,Cà phê,Coffee,expense,Ăn uống
Bida,Bi-da,Billiards,expense,Thể thao
Cầu lông,Cầu lông,Badminton,expense,Thể thao
Học,Học tập,Education,expense,Học tập
Ở,Nhà ở,Housing,expense,Sinh hoạt
Tiện ích,Tiện ích,Utilities,expense,Sinh hoạt
Body,Cơ thể,Personal care,expense,Thể thao
Gia đình,Gia đình,Family,expense,Xã hội
Quần áo,Quần áo,Clothing,expense,Cá nhân
Thuốc lá,Thuốc lá,Cigarettes,expense,Cá nhân
Cho vay,Cho vay,Lending,expense,Tài chính
Khác,Khác,Other,expense,Tài chính
Giải trí,Giải trí,Entertainment,expense,Giải trí
Sự cố,Sự cố,Incidents/Accidents,expense,Cá nhân
Bơi,Bơi,Swimming,expense,Thể thao
Ngu,Ngu,Regrettable spending,expense,Cá nhân
Gym,Gym,Gym,expense,Thể thao
Thể thao,Thể thao,Sports (general),expense,Thể thao
English,English,English learning,expense,Học tập
Tin thần,Tinh thần,Mental/Spiritual,expense,Giải trí
Gia đình,Gia đình,Family,income,Thu nhập
Lương,Lương,Salary,income,Thu nhập
Anh em,Anh em,Friends,income,Thu nhập
Dòng họ,Dòng họ,Extended family/Clan,income,Thu nhập
Đang vay,Đang vay,Borrowing,income,Thu nhập
Bán đồ cũ,Bán đồ cũ,Selling old stuff,income,Thu nhập
May mắn,May mắn,Lucky/Windfall,income,Thu nhập
Đầu tư,Đầu tư,Investment,income,Thu nhập
